Name	POS
저희	NP
자연	NNG
및	MAJ
쌈	NNG
덩이	NNBC
흑임자	NNG
니까요	EF
쾨쾨	XR
붉	VA
계열	NNG
예쁠	VA+ETM
삼	NR
나용	NNG
마요네즈	NNG
경험	NNG
왕눈이	NNG
연근	NNG
짭쪼	UNKNOWN
롬	NNG
핫소스	NNP
쌈밥	NNG
뭉쳐서	VV+EC
이뻐요	VA+EF
방울토마토	NNG
다릅니다	VA+EC
남겨	VV+EC
믹	NNG
서기	NNG
둑	NNG
강판	NNG
간다	VX+EF
넉넉	XR
중간	NNG
보충	NNG
통깨	NNG
도날드	NNP
재워둔다	VV+EC+VX+EC
만나	VV+EC
매실	NNG
갖	VV
념	UNKNOWN
재	VV
목이버섯	NNG
상관	NNG
풋고추	NNG
길이	NNG
흙	NNG
아랫부분	NNG
거꾸로	MAG
불순물	NNG
셔	EP+EC
니당	EF
보노	NNP
투명	NNG
최대한	MAG
미르	NNG
깜장	NNG
천사	NNG
싯	NNP
죽순	NNG
빈틈	NNG
녹말가루	NNG
마무리	NNG
비롯	XR
광	XSN
익혀	VV+EC
스며들	VV
쏘	NNP
화살표	NNG
양손	NNG
그렇게	MAG
